id,code,created_by,remark,expire_at,status,used_by,used_at,created_at
1,6B2UUKTV,1,dev-test,,UNUSED,,,2025-10-13 01:08:59.212
2,97Q4ADCY,1,dev-test,,UNUSED,,,2025-10-13 01:08:59.229
3,YGRX82SP,1,dev-test,,USED,1,2025-10-13 01:09:38.695,2025-10-13 01:08:59.231
4,6E366BR3,2,from-admin,,USED,3,2025-10-13 01:44:42.816,2025-10-13 01:44:26.405
5,MXPZRTGV,2,from-admin,,UNUSED,,,2025-10-13 01:44:26.408
6,YCSTN9JU,2,,,UNUSED,,,2025-10-13 02:20:49.090
7,PCKT8K3T,2,,,UNUSED,,,2025-10-13 02:20:49.100
8,WZQJPUAP,2,,,UNUSED,,,2025-10-13 02:20:49.101
9,DNZ23NR6,2,备注,2025-10-13 00:00:00.000,UNUSED,,,2025-10-13 02:21:03.185
